Date,Link,City,Title,Type,Company,Experience
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8228/link,Remote,Associate Data QA Engineer,Job,Betfair Romania,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8227/link,Cluj-Napoca,Grad/Junior Full-Stack Engineers,Job,Marsh & McLennan Companies,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8226/link,București,Junior Frontend Software Engineer,Job,Cognizant Netcentric,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8225/link,București,Junior Backend Software Engineer,Job,Cognizant Netcentric,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8224/link,Timișoara,Internship Team Assistant for - QL TSR,Internship,Continental,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8223/link,Remote,IT&C 2024 Network Strategy and Engineering Trainee,Trainee,Vodafone,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8221/link,București,Junior Data Reporting Analyst,Job,Booking Holdings Romania,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8220/link,Brașov,Junior TechOps Engineer,Job,Dennemeyer,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8219/link,,Human Resources Internship,Internship,Procter & Gamble,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8218/link,București,HR Managerial Intern,Intern,Procter & Gamble,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8217/link,Cluj-Napoca,Entry-Level Automotive Structural FEA Engineer,Job,ARRK Research & Development,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8216/link,Cluj-Napoca,Entry-Level Powertrain Simulation Engineer,Job,ARRK Research & Development,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8215/link,Cluj-Napoca,Entry-Level Chassis Development Engineer,Job,ARRK Research & Development,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8214/link,București,Strong Junior .NET Developer,Job,Sigma Software,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8213/link,București,HR Administration Intern,Intern,Systematic,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8212/link,Brașov,SW/App/Cloud Tech Support Associate,Job,Accenture,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8211/link,București,Digital Marketing Intern,Intern,BAT,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8208/link,Timișoara,Internship for PSS Tool Support,Internship,Continental,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8207/link,Timișoara,Mechanical Internship for Head-up Display,Internship,Continental,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8206/link,Iași,Internship for System Requirements Engineer for AN,Internship,Continental,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8205/link,Cluj-Napoca,Working Student - Technical Department,Job,Bosch Service Solutions,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8204/link,București,Sales Discovery Accelerator (Early Career Only),Job,Veeam,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8203/link,,Junior SAP Business Intelligence,Job,Prysmian Group,Fără experiență
